"case.name","case.issue","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer"
"7401","1999-039","9",2,2,2,2,2,2,2,2,2
"7402","1999-040","8",2,2,2,2,2,2,2,2,2
"7403","1999-041","3",1,1,1,1,1,1,1,1,1
"7404","1999-042","1",1,2,1,1,1,2,1,2,1
"7405","1999-043","1",2,2,2,2,2,2,2,2,2
"7406","1999-044","3",1,2,1,1,1,2,1,2,1
"7408","1999-046","1",2,2,2,1,2,2,2,2,1
"7409","1999-047","10",1,2,1,1,1,1,1,2,1
"7410","1999-048","1",1,2,2,1,2,2,1,2,2
"7411","1999-050","1",2,2,2,2,2,2,2,2,2
"7412","1999-051","1",1,2,1,1,1,1,1,1,2
"7413","1999-052","4",2,2,2,2,2,2,2,2,2
"7414","1999-053","1",2,2,2,1,2,2,1,2,2
"7415","1999-054","1",1,2,1,1,1,2,1,1,1
"7416","1999-055","1",1,2,1,2,1,2,2,1,2
"7417","1999-056","7",1,2,1,1,1,1,1,2,2
"7418","1999-057","10",1,2,1,1,1,2,1,2,2
"7419","1999-058","2",2,2,2,1,2,2,1,2,2
"7420","1999-059","1",1,1,1,2,1,1,1,1,1
"7421","1999-060","8",2,2,2,2,2,2,2,2,2
"7422","1999-061","1",1,2,1,1,1,2,1,2,2
"7423","1999-062","9",2,2,2,2,2,2,2,2,2
"7424","1999-063","3",1,2,1,1,2,2,2,2,1
"7425","1999-064","1",2,2,2,2,2,2,2,2,2
"7426","1999-065","10",2,1,2,2,2,1,1,1,2
"7427","1999-066","8",2,2,2,2,2,2,2,2,2
"7428","1999-067","8",1,1,1,1,1,1,1,1,1
"7429","1999-068","1",1,2,2,2,2,2,2,2,2
"7430","1999-069","5",2,1,2,1,1,2,2,2,2
"7431","1999-070","9",1,2,2,1,1,2,2,2,1
"7432","1999-071","1",2,2,2,2,2,2,2,2,2
"7433","1999-072","2",2,2,2,2,2,2,2,2,2
"7434","1999-073","1",1,2,1,1,1,2,1,2,2
"7435","1999-074","8",1,1,1,1,1,1,1,1,1
"7436","1999-075","8",2,2,2,2,2,2,2,2,2
"7437","1999-076","1",1,2,1,1,1,2,1,2,2
"7438","1999-077","3",1,2,2,1,2,2,1,2,2
"7439","1999-078","1",1,2,1,1,1,2,1,2,2
"7440","1999-079","10",2,2,2,2,2,2,2,2,2
"7441","1999-080","2",1,2,1,2,2,2,1,2,2
"7442","1999-081","1",2,2,2,1,2,2,1,2,2
"7443","1999-082","1",1,2,1,2,1,2,2,2,1
"7444","1999-083","2",2,1,2,2,2,2,2,1,2
"7446","1999-085","2",1,2,1,1,1,2,1,2,2
"7447","1999-086","5",2,2,2,1,1,2,1,2,2
"7448","1999-087","3",1,2,1,1,1,2,1,2,1
"7449","1999-088","5",1,2,2,1,1,2,1,2,2
"7450","1999-089","10",2,2,2,2,2,2,2,2,2
"7451","2000-001","2",2,2,2,2,2,2,2,2,2
"7452","2000-002","1",2,2,2,2,2,2,2,2,2
"7453","2000-003","1",1,1,1,1,1,1,1,1,1
"7454","2000-004","9",1,1,1,1,1,1,1,1,1
"7455","2000-005","1",1,2,2,1,2,2,1,2,2
"7456","2000-006","7",2,2,2,2,2,2,2,2,2
"7457","2000-007","9",1,1,1,1,1,1,1,1,1
"7458","2000-008","9",2,2,2,2,2,2,2,2,2
"7459","2000-009","2",1,2,1,1,1,2,1,2,2
"7460","2000-010","8",1,2,1,1,1,2,1,2,2
"7461","2000-011","1",2,2,2,2,2,2,2,2,2
"7462","2000-012","12",1,1,1,1,1,1,1,1,2
"7463","2000-013","4",2,2,2,2,2,2,2,2,2
"7464","2000-014","1",2,2,1,1,2,1,1,1,1
"7465","2000-015","4",1,2,1,1,1,1,1,1,1
"7466","2000-016","9",1,1,1,1,1,1,1,1,1
"7467","2000-017","9",1,1,1,1,1,1,1,1,1
"7468","2000-018","4",1,2,2,1,1,2,1,2,2
"7469","2000-019","8",2,2,2,2,2,2,2,2,2
"7470","2000-020","1",1,2,1,1,1,1,1,1,1
"7471","2000-021","10",2,2,2,2,2,2,2,2,2
"7472","2000-022","10",1,2,1,1,1,2,1,2,2
"7473","2000-023","8",1,1,1,1,1,1,1,1,1
"7474","2000-024","8",2,2,2,2,2,2,2,2,2
"7475","2000-025","8",2,2,2,2,2,2,2,2,2
"7476","2000-026","9",2,2,2,2,2,2,2,2,2
"7477","2000-027","2",2,2,2,2,2,2,2,2,2
"7478","2000-028","3",1,2,1,1,2,2,1,2,2
"7479","2000-029","5",1,1,1,1,1,1,1,1,1
"7480","2000-030","1",2,2,2,2,2,2,2,2,2
"7481","2000-031","8",2,2,2,2,2,2,2,2,2
"7482","2000-032","1",2,2,2,1,2,2,1,2,2
"7483","2000-033","1",1,1,1,1,1,1,1,1,1
"7484","2000-034","1",1,2,2,1,2,2,1,2,2
"7485","2000-035","7",1,2,1,1,1,2,1,2,2
"7486","2000-036","10",2,1,2,2,2,2,2,2,1
"7487","2000-037","1",1,2,1,1,1,2,1,2,2
"7488","2000-038","4",1,1,1,1,1,1,1,1,1
"7489","2000-039","12",2,2,2,2,2,2,2,2,2
"7490","2000-040","3",1,1,1,1,1,1,1,1,1
"7491","2000-041","2",1,2,2,1,1,2,1,2,2
"7492","2000-042","2",1,1,1,1,1,1,1,1,1
"7493","2000-043","9",1,2,1,1,1,2,1,2,2
"7494","2000-044","1",1,2,2,1,1,1,1,2,2
"7495","2000-045","1",1,2,1,1,1,2,1,2,2
"7496","2000-046","1",1,2,1,1,1,2,1,2,2
"7497","2000-047","2",1,1,1,1,1,1,1,1,1
"7498","2000-048","8",1,1,1,1,1,1,1,2,1
"7499","2000-049","4",1,2,1,2,1,1,2,1,2
"7501","2000-051","7",1,2,1,1,1,1,1,1,1
"7502","2000-052","3",1,2,2,1,2,2,1,2,2
"7504","2000-054","8",2,2,2,2,2,2,2,2,2
"7505","2000-055","6",1,2,1,1,1,2,1,2,2
"7506","2000-056","2",1,1,1,1,1,1,1,1,1
"7507","2000-057","2",2,2,2,1,2,2,1,2,2
"7508","2000-058","7",1,2,1,1,1,2,1,2,2
"7509","2000-059","9",1,1,1,1,1,1,1,1,1
"7511","2000-061","1",2,2,2,2,2,2,2,2,2
"7512","2000-062","10",2,2,2,2,2,2,2,2,2
"7513","2000-063","9",1,1,1,1,1,1,1,1,1
"7514","2000-064","1",1,2,2,1,2,2,1,2,2
"7515","2000-065","8",2,2,2,2,2,2,2,2,2
"7516","2000-066","12",1,2,1,1,1,1,1,1,1
"7519","2000-069","1",1,1,1,2,1,2,2,2,2
"7520","2000-070","2",1,1,2,1,1,2,1,2,2
"7521","2000-071","3",1,2,1,1,1,2,1,2,1
"7522","2000-072","1",2,2,2,2,2,2,2,2,2
"7523","2000-073","1",1,1,1,1,1,1,1,1,1
"7524","2000-074","1",1,1,1,1,1,1,1,2,2
"7525","2000-075","8",2,2,2,2,2,2,2,2,2
"7526","2000-076","9",2,2,2,1,2,2,2,2,2
"7527","2000-077","2",1,2,2,1,1,2,1,2,2
"7528","2000-078","2",1,2,1,1,2,2,1,2,2
"7529","2000-079","2",1,2,1,1,2,2,1,2,2
"7530","2000-080","2",1,1,1,1,1,1,1,1,1
"7531","2000-081","3",2,2,1,2,2,2,2,1,1
"7532","2000-082","3",1,2,2,1,1,2,1,2,2
"7533","2000-083","8",2,1,2,2,2,2,2,2,1
"7534","2000-084","10",2,1,2,2,2,1,2,1,1
"7535","2000-085","4",1,2,1,1,1,2,1,2,2
"7536","2000-086","1",1,2,1,1,1,2,1,2,2
"7537","2000-087","2",1,2,2,1,1,2,1,2,2
"7538","2001-001","9",1,1,1,1,1,1,1,1,1
"7539","2001-002","8",1,1,1,1,1,1,1,1,1
"7541","2001-004","2",1,2,1,1,1,2,1,2,2
"7542","2001-005","2",1,1,2,1,1,2,1,1,1
"7543","2001-006","9",1,1,1,1,1,1,1,1,1
"7544","2001-007","1",1,1,1,1,1,1,1,1,1
"7546","2001-009","9",1,1,1,1,1,1,1,1,1
"7547","2001-010","4",1,2,1,1,1,2,1,2,2
"7548","2001-011","2",1,1,1,1,1,1,1,1,1
"7549","2001-012","8",1,2,1,1,1,2,1,2,2
"7551","2001-014","1",1,2,2,1,1,2,1,2,2
"7552","2001-015","1",1,1,1,1,1,1,1,1,1
"7553","2001-016","7",1,2,2,1,2,2,1,2,2
"7554","2001-017","3",1,1,1,1,1,1,1,1,1
"7556","2001-019","9",2,2,2,1,1,2,1,2,2
"7557","2001-020","4",2,2,2,1,2,2,1,2,2
"7558","2001-021","5",1,1,1,1,1,1,1,1,1
"7559","2001-022","8",1,2,2,1,1,1,1,1,2
"7560","2001-023","10",1,2,2,2,1,1,1,1,1
"7561","2001-024","2",2,2,2,2,2,2,2,2,2
"7562","2001-025","9",1,1,1,1,1,1,1,1,1
"7563","2001-026","9",1,2,1,1,1,2,1,1,2
"7564","2001-027","9",1,1,1,2,2,1,2,1,1
"7565","2001-028","8",2,2,2,2,2,2,2,2,2
"7566","2001-029","1",1,2,1,1,1,1,1,1,1
"7567","2001-030","9",2,2,1,2,2,1,2,1,1
"7568","2001-031","2",2,2,2,2,2,2,2,2,2
"7570","2001-033","2",1,2,1,1,1,2,1,2,2
"7571","2001-034","1",1,2,1,1,1,2,1,2,2
"7572","2001-035","2",1,1,1,1,1,1,1,1,1
"7573","2001-036","9",1,1,1,1,1,1,1,1,1
"7574","2001-037","4",1,1,1,1,1,1,1,1,1
"7575","2001-038","3",1,2,1,1,2,2,2,2,2
"7576","2001-039","12",2,1,2,1,2,2,1,2,2
"7577","2001-040","4",1,2,2,1,2,2,1,2,2
"7578","2001-041","3",1,1,2,2,2,2,2,1,1
"7579","2001-042","2",1,1,1,1,1,2,1,2,1
"7580","2001-044","3",1,2,1,1,1,2,1,2,2
"7582","2001-046","3",1,2,1,1,1,1,1,1,1
"7583","2001-047","10",2,2,2,2,2,2,2,2,2
"7584","2001-048","1",1,1,1,1,1,1,1,1,1
"7586","2001-050","1",1,2,2,1,1,2,1,2,2
"7587","2001-051","1",1,2,1,1,1,1,1,1,1
"7588","2001-052","8",1,1,1,1,1,1,1,1,1
"7589","2001-053","10",1,2,1,1,1,2,1,2,2
"7590","2001-054","6",2,2,2,1,2,2,2,2,2
"7591","2001-055","8",2,2,2,2,2,2,2,2,2
"7592","2001-056","9",1,1,1,1,1,1,1,1,1
"7593","2001-057","9",2,2,2,1,1,2,1,2,2
"7594","2001-058","1",1,2,1,1,1,2,1,2,2
"7595","2001-059","2",1,1,1,1,1,1,1,1,1
"7596","2001-060","9",2,2,2,2,2,2,2,2,2
"7597","2001-061","2",1,2,1,1,1,2,2,2,2
"7598","2001-062","9",2,2,2,2,2,2,2,2,2
"7599","2001-063","3",1,2,2,2,2,2,2,2,2
"7600","2001-064","8",1,1,1,1,1,1,1,1,1
"7601","2001-065","1",1,2,1,1,1,2,1,2,1
"7602","2001-066","1",1,2,2,1,1,2,1,2,2
"7603","2001-067","12",2,2,2,1,2,1,1,2,2
"7604","2001-068","1",1,1,1,1,1,1,1,1,1
"7605","2001-069","5",1,2,1,1,1,1,1,2,1
"7606","2001-070","1",1,2,2,1,2,2,1,2,2
"7607","2001-071","10",2,1,1,2,2,1,2,1,1
"7608","2001-072","8",2,2,2,2,2,2,2,2,2
"7609","2001-073","10",1,1,2,2,1,1,1,1,1
"7610","2001-074","2",2,2,1,1,1,2,1,2,2
"7611","2001-075","7",1,1,1,1,1,1,1,1,1
"7612","2001-076","1",1,2,1,1,1,2,2,2,1
"7613","2001-077","1",1,2,1,2,2,2,2,2,2
"7614","2001-078","1",1,1,1,1,1,1,1,1,1
"7615","2001-079","1",2,2,2,2,2,2,2,2,2
"7616","2001-080","3",1,2,1,1,1,2,1,2,2
"7617","2001-081","2",1,2,2,1,2,2,1,2,2
"7618","2001-082","3",2,1,2,2,2,1,2,1,1
"7619","2001-083","5",1,2,2,1,1,2,1,2,1
"7620","2001-084","9",1,1,1,1,1,1,1,1,1
"7621","2001-085","1",1,1,1,1,1,1,1,1,1
"7622","2002-001","9",1,1,1,1,1,1,1,1,1
"7623","2002-002","1",1,1,1,1,1,1,1,1,1
"7624","2002-003","2",1,1,1,1,1,1,1,1,1
"7625","2002-004","1",1,1,1,1,1,1,1,1,1
"7626","2002-005","9",1,1,1,1,1,1,1,1,1
"7627","2002-006","8",1,1,1,1,1,1,1,1,1
"7628","2002-007","10",1,1,1,1,1,1,1,1,1
"7629","2002-008","9",1,1,1,1,1,1,1,1,1
"7631","2002-010","1",1,2,1,1,1,1,1,1,1
"7633","2002-012","1",1,2,1,1,1,2,1,2,2
"7634","2002-013","8",1,1,1,1,1,1,1,1,1
"7635","2002-014","2",2,2,1,1,2,2,1,2,2
"7636","2002-015","8",1,2,1,1,1,1,1,1,2
"7637","2002-016","1",1,2,1,1,1,1,1,1,1
"7638","2002-017","2",1,1,1,1,1,1,1,1,1
"7639","2002-018","8",2,2,2,2,2,2,2,2,1
"7640","2002-019","1",2,2,2,2,2,2,1,2,2
"7641","2002-020","2",1,1,1,1,1,1,1,1,1
"7642","2002-021","5",1,2,1,1,1,1,1,1,1
"7643","2002-022","8",2,2,2,2,2,2,2,2,2
"7644","2002-023","12",2,2,2,1,2,2,1,2,2
"7645","2002-024","2",1,2,2,1,1,2,1,2,2
"7646","2002-025","2",1,2,2,1,1,2,1,1,1
"7647","2002-026","1",2,2,2,2,2,2,2,2,2
"7648","2002-027","1",1,1,1,1,1,1,1,1,1
"7649","2002-028","1",1,2,1,1,1,2,1,2,2
"7650","2002-029","1",1,2,1,1,1,2,1,2,2
"7651","2002-030","1",1,2,1,1,1,1,1,2,2
"7652","2002-031","8",1,1,1,1,1,1,1,1,1
"7653","2002-032","8",1,2,1,2,1,2,2,2,1
"7654","2002-033","2",1,1,1,1,1,1,1,1,1
"7655","2002-034","1",1,1,1,1,1,2,1,2,2
"7656","2002-035","4",1,2,2,1,1,2,1,2,2
"7657","2002-036","2",2,2,1,2,2,2,1,2,2
"7658","2002-037","8",1,2,1,1,1,1,2,1,1
"7659","2002-038","10",1,1,1,1,1,1,1,1,1
"7660","2002-039","3",2,2,2,1,2,2,1,2,2
"7662","2002-041","8",1,1,1,2,1,1,2,2,1
"7663","2002-042","2",1,1,1,1,1,1,1,2,2
"7664","2002-043","9",2,2,2,2,2,2,2,2,2
"7665","2002-044","9",1,1,1,1,1,1,1,1,1
"7667","2002-046","1",2,2,2,2,2,2,2,2,2
"7668","2002-047","2",1,2,1,1,1,2,1,2,2
"7669","2002-048","9",2,1,2,1,1,2,1,2,2
"7670","2002-049","3",1,1,1,1,1,1,1,1,1
"7671","2002-050","1",2,2,2,2,2,2,2,2,2
"7672","2002-051","1",1,1,1,1,1,1,1,1,1
"7673","2002-052","8",1,2,1,2,1,2,2,2,2
"7674","2002-053","9",2,2,2,2,2,2,2,2,2
"7675","2002-054","2",1,1,1,1,1,1,1,1,1
"7676","2002-055","4",1,1,1,1,1,1,1,1,1
"7678","2002-057","10",2,2,2,1,1,2,1,2,2
"7679","2002-058","1",1,2,1,1,2,1,1,2,1
"7680","2002-059","9",1,1,2,1,1,1,1,1,2
"7681","2002-060","8",1,1,1,1,1,1,1,1,1
"7682","2002-061","4",1,2,2,2,1,2,1,2,2
"7683","2002-062","9",2,2,2,1,2,2,1,2,2
"7685","2002-064","10",2,2,2,2,2,2,2,2,2
"7686","2002-065","8",1,1,1,1,1,1,1,1,1
"7687","2002-066","8",2,2,2,2,2,2,1,2,2
"7688","2002-067","9",1,2,2,1,2,2,2,1,1
"7689","2002-068","2",2,2,2,2,2,2,2,2,2
"7690","2002-069","8",2,2,2,2,2,2,2,2,2
"7692","2002-072","3",1,1,1,1,1,1,1,1,1
"7693","2002-073","3",1,1,1,1,1,1,1,1,1
"7694","2002-074","3",2,2,2,1,2,2,1,2,2
"7695","2002-075","4",2,2,1,1,2,2,1,2,2
"7696","2002-076","3",1,2,1,1,1,2,1,2,1
"7697","2002-077","2",1,2,1,1,1,2,1,2,1
"7698","2002-078","2",1,2,2,1,1,2,1,2,2
"7699","2002-079","10",2,1,2,1,2,2,1,1,2
"7700","2002-080","8",2,1,2,1,2,1,2,1,1
"7701","2002-081","2",1,2,1,1,1,2,1,2,2
"7702","2002-082","1",2,2,2,1,2,2,1,2,2
"7703","2002-083","5",1,2,2,1,2,2,1,2,2
"7704","2002-084","1",1,2,2,1,1,2,1,2,2
"7705","2002-085","9",1,1,2,1,2,1,1,1,2
"7706","2003-001","1",1,1,1,1,1,1,1,1,1
"7707","2003-002","1",1,1,1,1,1,1,1,1,1
"7708","2003-003","2",1,1,1,1,1,1,1,1,1
"7709","2003-004","1",1,1,1,1,1,1,1,1,1
"7711","2003-006","3",1,2,2,1,1,2,1,2,2
"7712","2003-019","1",1,1,1,1,1,1,1,1,1
"7713","2003-020","1",2,2,2,2,2,2,2,2,2
"7714","2003-021","8",2,2,2,2,2,2,2,2,2
"7715","2003-022","8",1,1,1,1,1,1,1,1,1
"7716","2003-023","1",1,2,1,1,1,2,1,2,1
"7717","2003-024","10",2,2,2,2,2,2,2,2,2
"7718","2003-025","8",1,1,1,1,1,1,1,1,1
"7719","2003-026","8",1,2,2,1,1,2,1,2,2
"7720","2003-027","1",2,2,2,2,2,2,2,2,2
"7721","2003-028","6",1,1,1,1,1,1,1,1,1
"7722","2003-029","4",1,1,1,1,1,1,1,1,1
"7723","2003-030","8",2,1,1,2,2,1,2,1,1
"7724","2003-031","2",2,2,2,1,1,2,1,2,2
"7725","2003-032","5",1,2,1,1,1,1,1,2,2
"7727","2003-034","1",2,2,2,1,2,2,1,2,2
"7728","2003-035","3",2,2,2,1,2,2,1,2,2
"7729","2003-036","8",1,1,1,1,1,1,1,1,1
"7730","2003-037","2",1,1,1,1,1,1,1,1,1
"7731","2003-038","8",2,2,2,2,2,2,2,2,2
"7732","2003-039","9",1,2,1,1,1,1,1,1,1
"7733","2003-040","1",2,2,2,2,2,2,2,2,2
"7734","2003-041","1",1,1,1,1,1,1,1,1,1
"7735","2003-042","8",1,1,1,1,1,1,1,1,1
"7736","2003-043","12",2,2,2,2,2,2,2,2,2
"7737","2003-044","10",1,2,1,1,1,1,1,1,1
"7738","2003-045","1",1,1,1,1,1,1,1,1,1
"7739","2003-046","5",2,2,2,2,2,2,2,2,2
"7740","2003-047","8",1,2,1,1,1,2,1,2,1
"7741","2003-048","2",1,1,1,2,1,2,1,1,1
"7742","2003-049","8",1,1,1,1,1,1,1,1,1
"7743","2003-050","10",1,1,1,1,1,2,1,1,1
"7744","2003-051","9",1,2,1,1,1,2,1,2,2
"7745","2003-052","9",2,2,2,2,2,2,2,2,2
"7746","2003-053","1",1,2,1,1,2,2,1,1,1
"7748","2003-055","9",1,1,1,1,1,1,1,1,1
"7749","2003-056","1",1,1,1,1,1,1,1,1,1
"7750","2003-057","10",2,2,2,1,2,2,1,2,2
"7751","2003-058","8",1,2,1,1,1,2,2,2,2
"7752","2003-059","2",1,2,2,1,1,2,1,2,2
"7753","2003-060","9",1,2,1,1,1,2,1,2,2
"7754","2003-061","10",2,2,2,2,2,2,2,2,2
"7755","2003-062","1",1,2,1,1,1,2,1,1,1
"7756","2003-063","2",2,2,2,2,2,2,2,2,2
"7757","2003-064","1",1,2,1,1,1,2,1,2,2
"7758","2003-065","1",1,2,2,2,1,2,1,2,2
"7759","2003-066","8",2,2,2,2,2,2,2,2,2
"7760","2003-067","8",1,1,1,1,1,1,1,1,1
"7761","2003-068","3",1,1,1,1,1,1,1,1,1
"7763","2003-070","8",1,1,1,1,1,1,1,1,1
"7764","2003-071","1",1,1,1,1,1,1,1,1,1
"7765","2003-072","10",1,2,2,1,1,2,1,2,2
"7766","2003-073","2",2,2,2,2,2,2,1,2,2
"7768","2003-075","1",1,2,1,1,1,2,1,2,2
"7769","2003-076","10",2,2,2,2,2,2,2,2,2
"7770","2003-077","1",1,1,1,1,1,1,1,2,2
"7771","2003-078","5",2,2,2,2,2,2,2,2,1
"7772","2003-079","1",1,2,2,1,2,2,1,2,2
"7773","2003-080","1",1,2,1,2,1,2,2,2,1
"7774","2003-081","1",1,2,1,1,1,2,1,2,2
"7775","2003-082","5",1,1,1,1,1,2,1,2,1
"7776","2003-083","1",1,2,1,1,1,2,1,2,2
"7777","2003-084","1",1,2,1,1,1,2,1,2,2
"7778","2003-085","1",1,2,2,1,2,2,1,2,2
"7779","2003-086","4",2,2,2,2,2,2,1,2,2
"7780","2003-087","1",1,2,1,1,2,2,1,2,2
"7781","2003-088","1",1,2,1,1,1,2,1,2,2
"7783","2003-090","3",1,2,1,1,2,2,2,2,1
"7784","2003-091","8",1,2,2,1,2,2,1,2,2
"7785","2004-001","2",2,2,2,2,2,2,2,2,2
"7786","2004-002","8",1,1,1,1,1,1,1,1,1
"7787","2004-003","1",2,2,2,1,2,2,1,2,2
"7788","2004-004","8",1,1,1,2,1,1,1,1,1
"7789","2004-005","3",1,1,1,1,1,1,1,1,1
"7791","2004-007","8",2,2,2,2,2,2,2,2,2
"7792","2004-008","9",1,2,1,1,1,2,1,2,1
"7794","2004-010","8",1,2,1,1,1,1,1,2,1
"7796","2004-012","8",2,1,2,2,2,2,2,2,2
"7797","2004-013","1",1,1,1,1,1,1,1,1,1
"7798","2004-014","1",2,1,2,1,2,1,1,2,2
"7799","2004-015","2",1,2,1,1,1,2,1,2,2
"7800","2004-016","2",1,2,2,2,2,2,1,2,2
"7803","2004-019","9",1,1,1,1,1,1,1,1,1
"7804","2004-020","9",1,1,1,1,1,1,1,1,1
"7805","2004-021","1",1,2,2,2,1,2,2,1,1
"7808","2004-024","1",1,2,1,1,2,2,1,2,2
"7810","2004-026","8",2,2,2,2,2,2,2,2,2
"7812","2004-028","9",1,2,2,2,2,2,1,2,2
"7813","2004-029","1",2,2,2,2,1,2,2,2,2
"7814","2004-030","1",1,1,1,1,1,1,1,1,1
"7815","2004-031","2",1,1,1,1,1,1,1,1,1
"7817","2004-033","2",1,2,2,1,1,2,1,2,2
"7818","2004-034","2",1,2,1,1,1,1,1,1,1
"7820","2004-036","1",2,2,2,2,2,2,2,2,2
"7821","2004-037","9",2,2,2,2,2,2,2,2,2
"7822","2004-038","9",1,2,1,2,2,1,1,2,1
"7823","2004-039","8",2,2,2,2,2,2,2,2,2
"7824","2004-040","8",1,1,1,1,1,1,1,1,1
"7825","2004-041","1",1,1,1,2,1,2,1,2,2
"7827","2004-043","9",1,2,1,1,1,2,1,2,2
"7828","2004-044","10",1,1,1,2,1,1,2,1,1
"7829","2004-045","8",1,1,1,2,2,2,1,2,2
"7830","2004-046","4",2,2,2,2,2,2,2,2,2
"7831","2004-047","3",1,2,1,1,2,2,1,1,1
"7832","2004-048","3",1,2,1,1,1,2,1,2,1
"7833","2004-049","4",2,2,2,1,2,2,1,2,2
"7834","2004-050","9",1,2,2,1,1,2,1,1,2
"7835","2004-051","1",2,2,2,2,2,2,2,2,2
"7836","2004-052","3",2,2,2,2,2,2,2,2,2
"7837","2004-053","3",2,2,2,1,2,2,1,2,2
"7838","2004-054","10",1,2,1,2,2,2,1,2,2
"7839","2004-055","10",1,2,2,1,2,2,1,2,2
"7840","2004-056","2",1,2,1,1,2,2,2,2,2
"7841","2004-057","2",2,2,2,2,2,2,1,2,2
"7842","2004-058","1",1,1,1,1,1,1,1,1,1
"7843","2004-059","8",2,2,2,2,2,2,2,2,2
"7844","2004-060","4",1,1,1,1,1,1,1,1,1
"7845","2004-061","1",1,2,2,1,2,2,1,2,2
"7846","2004-062","9",2,2,2,2,2,2,2,2,2
"7847","2004-063","4",2,2,2,2,2,2,2,2,2
"7848","2004-064","1",1,2,1,1,1,2,1,2,2
"7849","2004-065","1",1,2,2,1,1,2,1,2,2
"7850","2004-066","9",1,1,1,1,1,1,1,2,2
"7851","2004-067","8",2,2,2,2,2,2,2,2,2
"7852","2004-068","10",2,1,2,1,2,1,1,1,1
"7853","2004-069","4",1,2,1,1,2,2,1,2,2
"7854","2004-070","9",1,2,1,1,1,2,1,1,1
"7855","2004-071","9",2,1,1,2,2,2,2,1,1
"7856","2004-072","8",2,2,2,2,2,2,2,2,2
"7857","2004-073","2",2,2,2,1,2,2,1,2,2
"7858","2004-074","1",1,2,1,1,1,2,1,1,1
"7859","2004-075","3",1,2,2,1,1,2,1,2,1
"7860","2004-076","4",1,2,1,1,1,1,1,2,1
"7861","2004-077","9",1,2,1,1,1,2,1,2,2
"7862","2004-078","3",1,2,2,1,1,2,1,2,2
"7863","2004-079","8",1,1,1,1,1,1,1,1,1
"7864","2004-080","9",1,1,1,2,1,2,1,2,1
